
2024/02/28 (13:24:48) | ===> btop++ v.1.3.2
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:24:48) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:24:50) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/02/28 (13:24:52) | ===> btop++ v.1.3.2
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:24:52) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:24:54) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/02/28 (13:58:17) | ===> btop++ v.1.3.2
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/02/28 (13:58:17) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/02/28 (13:58:19) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/03/01 (14:50:21) | ===> btop++ v.1.3.2
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/01 (14:50:21) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/01 (14:50:29) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/03/01 (16:52:40) | ===> btop++ v.1.3.2
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/03/01 (16:52:40) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/03/01 (16:52:43) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/04/10 (10:08:19) | ===> btop++ v.1.3.2
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/10 (10:08:19) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/10 (10:08:21) | ERROR: Exception in runner thread -> Cpu:: -> graphs, clock, meter : _Map_base::at

2024/04/10 (10:08:34) | ===> btop++ v.1.3.2
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2024/04/10 (10:08:34) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
